日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20230920,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.56,0.00,0.00,0.00,0.00,23726
20230921,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.59,0.04,0.03,0.00,0.00,23729
20230922,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.53,-0.06,-0.04,0.00,0.00,23736
20230925,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.53,0.00,0.00,0.00,0.00,23735
20230926,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.49,-0.04,-0.03,0.00,0.00,23765
20230927,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.48,-0.01,-0.01,0.00,0.00,23794
20230928,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.62,0.15,0.10,0.00,0.00,23787
20231009,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.71,0.09,0.06,0.00,0.00,23838
20231010,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.61,-0.10,-0.07,0.00,0.00,23849
20231011,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.51,-0.10,-0.07,0.00,0.00,23858
20231012,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.50,-0.01,-0.01,0.00,0.00,23886
20231013,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.54,0.05,0.03,0.00,0.00,23894
20231016,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.57,0.03,0.02,0.00,0.00,23881
20231017,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.52,-0.06,-0.04,0.00,0.00,23890
20231018,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.48,-0.04,-0.03,0.00,0.00,23908
20231019,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.36,-0.11,-0.08,0.00,0.00,23916
